PLATFORM_CODE,DATE (YYYY-MM-DDTHH:MI:SSZ),DATE_QC,LATITUDE (degree_north),LONGITUDE (degree_east),POSITION_QC,PRES (decibar),PRES_QC,PRES_ADJUSTED (decibar),PRES_ADJUSTED_QC,TEMP_ADJUSTED (degree_Celsius),TEMP_ADJUSTED_QC,PSAL_ADJUSTED (psu),PSAL_ADJUSTED_QC,DOX2_ADJUSTED (micromole/kg),DOX2_ADJUSTED_QC
4903884,2025-08-27T20:37:30Z,1,55.20157,9.75192,1,5.4,1,7.5,1,17.448,1,,,0.52,1
4903884,2025-08-27T20:37:30Z,1,55.20157,9.75192,1,6.1,1,8.2,1,17.411,1,,,0.724,1
4903884,2025-08-27T20:37:30Z,1,55.20157,9.75192,1,7.1,1,9.2,1,17.378,1,,,0.545,1
4903884,2025-08-27T20:37:30Z,1,55.20157,9.75192,1,8.1,1,10.2,1,17.341,1,,,0.444,1
4903884,2025-08-27T20:37:30Z,1,55.20157,9.75192,1,8.9,1,11.0,1,17.291,1,,,0.44,1
4903884,2025-08-27T20:37:30Z,1,55.20157,9.75192,1,10.1,1,12.2,1,17.124,1,,,0.398,1
4903884,2025-08-27T20:37:30Z,1,55.20157,9.75192,1,11.1,1,13.2,1,16.89,1,20.813,1,0.311,1
4903884,2025-08-27T20:37:30Z,1,55.20157,9.75192,1,12.1,1,14.2,1,16.608,1,20.963,1,0.212,1
4903884,2025-08-27T20:37:30Z,1,55.20157,9.75192,1,13.0,1,15.1,1,15.598,1,21.328,1,0.167,1
4903884,2025-08-27T20:37:30Z,1,55.20157,9.75192,1,14.1,1,16.2,1,14.808,1,21.71,1,0.17,1
4903884,2025-08-27T20:37:30Z,1,55.20157,9.75192,1,15.1,1,17.2,1,14.805,1,21.85,1,0.151,1
4903884,2025-08-27T20:37:30Z,1,55.20157,9.75192,1,16.0,1,18.1,1,14.453,1,21.988,1,0.156,1
4903884,2025-08-27T20:37:30Z,1,55.20157,9.75192,1,17.1,1,19.2,1,14.249,1,22.179,1,0.137,1
4903884,2025-08-27T20:37:30Z,1,55.20157,9.75192,1,18.0,1,20.1,1,14.15,1,22.329,1,0.116,1
4903884,2025-08-27T20:37:30Z,1,55.20157,9.75192,1,19.0,1,21.1,1,13.728,1,22.433,1,0.115,1
4903884,2025-08-27T20:37:30Z,1,55.20157,9.75192,1,20.1,1,22.2,1,13.545,1,22.565,1,0.125,1
4903884,2025-08-27T20:37:30Z,1,55.20157,9.75192,1,20.8,1,22.9,1,13.541,1,22.844,1,0.147,1
